rarity_id,project,short_description,max_items,price,price_text,currency,sale_date,pre_sale_date,website,discord_link,twitter_id,listed_date
gorillaskenny,Gorillas Kenny,Gorilla themed NFTs,1111,"0,07 ",,SOL,2022-03-18T19:00:00.000Z,,https://gorillaskenny.com/,https://discord.com/invite/Drn2Mua3kd,Gorillas_Kenny,2022-03-13T00:00:00.000Z
greancyworld,Greancy World,Dynamic pixelated NFT avatars,5600,Public: .08 eth  WL Presale: .06 eth ,"Presale: 0.06 ETH
Sale: 0.08 ETH",ETH,2022-03-22T18:00:00.000Z,,Greancyworld.net,https://discord.gg/a5tMqjexVx,greancyworld,2022-03-15T00:00:00.000Z
gruntz,GRUNTZ,Soldier themed NFT avatars,1776,0.05,,ETH,2022-04-04T05:30:00.000Z,,www.gruntz.io,www.discord.gg/wRNU3NqNp6,CryptoGRUNTZ,2022-03-16T00:00:00.000Z
happerapestudio,Hammer Ape Studio,Ape themed NFTs,3333,0.053,"Presale: 0.033 ETH
Public Sale: 0.053 ETH",ETH,2022-03-22T09:30:00.000Z,2022-03-21T17:04:00.000Z,https://hammerapestudio.com,https://discord.gg/wmqa9Y4p6J,ape_hammer,2022-03-10T00:00:00.000Z
hashcowsnft,Hash Cows NFT,Pixel cows themed NFTs,10000,0.08,,ETH,2022-03-30T08:00:00.000Z,,https://hashcowsnft.com/,https://discord.gg/Nr8UaJtM84,hashcowsnft,2022-03-17T00:00:00.000Z
heropeppernfts,Hero Pepper NFTs,P2E strategy game NFTs,6000,0.015,,ETH,2022-03-27T05:00:00.000Z,,https://pepperattack.com/,https://discord.gg/pepperattack,Pepper_Attack,2022-03-14T00:00:00.000Z
heroesofluminia,Heroes Of Luminia,Animated NFT avatars with upcoming game,5555,0.03,,ETH,2022-03-18T09:00:00.000Z,,heroesofluminia.com,https://discord.com/invite/Tn5tJfcjJe,HeroesOfLuminia,2022-03-11T00:00:00.000Z
honsbuns,Hon's Buns,Bunny themed NFTs,10000,0.03,,ETH,2022-03-27T18:00:00.000Z,2022-03-25T18:00:00.000Z,https://www.honsbuns.com/,https://discord.gg/SUbwbYbsYd,honsbuns,2022-03-16T00:00:00.000Z
kww,Kangaroo's wild world -KWW,Kangaroo themed NFTs with upcoming game,10512,0.18,,ETH,2022-03-20T22:00:00.000Z,,https://kw.world,https://discord.gg/kww,kww_nft,2022-03-10T00:00:00.000Z
photobookmorningstar,"KGP NFT Photobook:""Morningstar""",Unique Pictures NFTs,550,0.15,,ETH,2022-03-27T19:00:00.000Z,2022-03-25T17:18:00.000Z,https://kgpnft.com,https://discord.gg/kgpnft,kgpnft,2022-03-12T00:00:00.000Z
kujiranokonton,Kujira No Konton,,7777,0.0777,,ETH,To be Announced,,https://kujiranokonton.com/,https://discord.gg/4dJfvrend5,KujiraNoKonton,2022-03-16T00:00:00.000Z
lazzyfarmnft,Lazyfarm NFT - Archie & Jo,Farm themed NFTs,1000,0.03,,ETH,2022-03-20T13:00:00.000Z,,www.lazyfarmnft.com,http://discord.gg/TpxaeQfXqx,LazyfarmNFT,2022-03-13T00:00:00.000Z
ledgers,Ledgers NFT,TV head themed NFT avatars,6767,0.06,,ETH,To be Announced,2022-03-17T17:58:00.000Z,theledge.io ,https://discord.gg/ledgersnft,LedgersNFT,2022-03-09T00:00:00.000Z
lofa,Legends of Asians,Anime themed NFTs,5555,0.1,,ETH,2022-03-20T01:00:00.000Z,,https://legendsofasians.io/,https://discord.com/invite/legendsofasians,LegendsofAsians,2022-03-13T00:00:00.000Z
losmuertos,Los Muertos,Skeleton themed NFTs,10000,0.04/0.05,"Presale: 0.04 ETH
Public Sale: 0.05 ETH",ETH,2022-04-05T22:00:00.000Z,,https://www.los-muertos.io/,discord.gg/losmuertos,los_muertosNFT,2022-03-16T00:00:00.000Z
madveggies,Mad Veggies,Tomato themed NFT avatars,1515,1.6 AVAX,1.6 AVAX,ETH,2022-04-20T18:00:00.000Z,,madveggies.com,https://discord.gg/sg8VWbmZaK,MadVeggies,2022-03-13T00:00:00.000Z
masonicbabylizards,Masonic Baby Lizards,Baby lizards themed NFTs,1100, ,"Pre-sale: 0.56 SOL
Sale: 0.66 SOL",ETH,2022-03-22T20:30:00.000Z,2022-03-22T20:00:00.000Z,https://www.masoniclizards.com/,http://discord.gg/x8XmhEJxbg,MasonicLizards,2022-03-11T00:00:00.000Z
metalodonsclubofficial,MetaLodons Club Official,Sharks themed NFTs,7777,0.07,,ETH,2022-03-20T10:00:00.000Z,2022-03-19T10:00:00.000Z,www.metalodons.com,https://discord.gg/Kv4KMUh4A4,metalodons_club,2022-03-15T00:00:00.000Z
metamannft,Metaman NFT,Metaverse themed NFT avatars,9999,0.09,,ETH,2022-03-31T20:00:00.000Z,,https://metamannft.io,https://discord.com/invite/xXZ62VQUFw,metamanrising,2022-03-16T00:00:00.000Z
metapeverse,METAPEVERSE,Powerful Ape Themed NFTs,300,2 SOL,,ETH,2022-03-19T06:00:00.000Z,,alpha-pad.io is where we will be minting / where info is currently | Official website for Collection should be available 3/17.,discord.gg/metapeverse ,MetapeverseNFT,2022-03-11T00:00:00.000Z
metarugs,MetaRugs,3D rugs themed NFTs,7400,0.05,,ETH,2022-03-25T23:00:00.000Z,,https://www.metarugs.org/,http://Discord.gg/AxHt52y6cg,MetaRugs,2022-03-14T00:00:00.000Z
metasyndicate,MetaSyndicate,Utility based 3D NFT avatars,7777,0.2,,ETH,2022-04-30T20:00:00.000Z,,https://metasyndicate.io,https://discord.gg/metasyndicate,meta_syndicate,2022-03-10T00:00:00.000Z
mofumofugirls,Mofu Mofu Girls NFT,Anime themed NFTs,8888,0.05/0.08,"Presale: 0.05 ETH
Public Sale: 0.08 ETH",ETH,To be Announced,2022-04-03T02:00:00.000Z,https://mofumofugirls.com/,https://discord.gg/WZ8JyJaXp3,mfmfgirls,2022-03-15T00:00:00.000Z
monopolymoneynft,Monopoly Money NFT ,Monopoly themed NFTs,2500,1,,SOL,2022-03-26T22:00:00.000Z,,https://www.monopolymoneynfts.com/,https://discord.gg/sn3WQg9ntA,MonopoIyNFT,2022-03-17T00:00:00.000Z
moonraidnft,moon:raid nft,Gemstones Themed NFTs,6170,0.09,,ETH,2022-03-18T16:00:00.000Z,,https://moonraid.io/,https://discord.gg/RyfYBYx6jw,moonraidNFT,2022-03-12T00:00:00.000Z
moonbabes,MoonBabes,Anime girls themed NFTs,8888,150 ,,MATIC,2022-04-30T00:00:00.000Z,,https://moonbabes.space,https://discord.gg/BSKebxFkYm,moon_babes,2022-03-14T00:00:00.000Z
morpheads,Morpheads,Imp themed NFT avatars,3333,0.035,,ETH,2022-03-29T15:00:00.000Z,,https://morpheads.io/,https://discord.com/invite/kke8GjQ7xz,Morpheads_nft,2022-03-14T00:00:00.000Z
munchiemafianightclub,Munchie Mafia Night Club,Hand-drawn Panda themed NFT avatars,9999,0.09,,ETH,2022-04-20T20:00:00.000Z,,https://themunchiemafia.com ,https://discord.com/invite/munchiemafia,themunchiemafia,2022-03-15T00:00:00.000Z
mushroomclub,Mushrooms Club NFT,Mushroom themed NFTs,7777,0.077,,ETH,2022-03-31T00:00:00.000Z,,https://mushroomsclubnft.com/,https://discord.com/invite/mushroomsclubnft,MushroomsClub,2022-03-15T00:00:00.000Z
mutantmoneysociety,Mutant Money Society,Banknote themed NFTs,9999,0.088,,ETH,2022-04-10T17:00:00.000Z,2022-04-09T17:00:00.000Z,https://www.mutantmoney.art/,discord.gg/pBvYy6C6ev,MutantMoneyNFT,2022-03-14T00:00:00.000Z
mutantsatoshiclub,Mutant Satoshi Club,Mutant bear themed NFTs,10000,138,,MATIC,2022-04-23T14:00:00.000Z,,https://mutantsatoshi.com/,discord.gg/mt8yzgVxrS,mutantsatoshi,2022-03-16T00:00:00.000Z
mutantversegenesis,MutantVerse Genesis,Mutant themed NFT avatars,2282,0.12,,ETH,2022-03-22T16:00:00.000Z,,https://www.cryptopop.biz/mutantverse,discord.gg/pgWfAR4dGZ,CryptoPopBrand,2022-03-14T00:00:00.000Z
obot,O-Bot,Fighting bot themed NFTs,5555,Sale: 0.1 eth | WL sale 0.08 eth (20.03.2022),"Presale: 0.08 ETH
Public Sale: 0.1 ETH",ETH,2022-03-31T17:00:00.000Z,2022-03-20T17:00:00.000Z,https://obot.games/,https://discord.com/invite/5uw3kxJW43,obotgame,2022-03-15T00:00:00.000Z
oasisofuniverse,Oasis of Universe,Metaverse pass themed NFTs,2000,2 ,,SOL,2022-03-28T17:00:00.000Z,2022-03-25T14:25:00.000Z,https://www.oasisofuniverse.io/,https://discord.gg/oasisofuniverse,oasisofuniverse,2022-03-17T00:00:00.000Z
okoku,OKOKU ,Hand-drawn anime themed NFT avatars,5555,0.069,,ETH,2022-04-15T18:00:00.000Z,,https://www.okokunft.io/#about,https://discord.gg/zV434MShF3,OkokuNFT,2022-03-16T00:00:00.000Z
oozoids,Oozoids,Oozoids themed NFTs,7777,0.05,,ETH,2022-03-30T18:00:00.000Z,,https://oozoids.com/, http://discord.gg/oozoids,Oozoids,2022-03-17T00:00:00.000Z
paperhands,PaperHands,Paint themed NFTs,8888,,TBA,ETH,2022-03-20T19:00:00.000Z,,https://paperhands.game,https://discord.gg/nW2qDCZAat,PaperHandsGame,2022-03-16T00:00:00.000Z
pixawargs,PixaWargs,Pixelated creature themed NFT avatars,500,0.04,,ETH,2022-05-07T20:00:00.000Z,,https://pixanft.com,https://discord.gg/pixa,pixa_nft,2022-03-16T00:00:00.000Z
project89pass,Project89,Founders Pass ,333,3 ,,SOL,2022-03-19T10:00:00.000Z,,www.project89.io,www.discord.gg/project89,project89nft,2022-03-12T00:00:00.000Z
proudlionsclub,Proud Lions Club,Lion themed NFT avatars,7777,0.077,,ETH,2022-04-25T00:00:00.000Z,2022-04-20T19:00:00.000Z,www.proudlionsclub.com,discord.gg/8aVXmMeep9,proudlionsclub,2022-03-15T00:00:00.000Z
robotoken,ROBOTOKEN NFT,Robot themed NFTs,5000,0.12,,ETH,To be Announced,2022-03-22T19:00:00.000Z,https://goo.su/aLDt,https://discord.gg/nJq74jnhs9,ROBOTOKENSPACE,2022-02-16T00:00:00.000Z
rulethesagabyvrmeta,Rule The Saga (by VRMETA),Saga themed NFTs ,10000,0.2,,ETH,2022-04-14T12:30:00.000Z,2022-03-31T12:30:00.000Z,www.rulethesaga.com,https://discord.gg/x8j32mZmDv,VRMETA_Chain,2022-03-12T00:00:00.000Z
shazu,Shazu,Ninja themed NFT avatars,10000,0.25,"Presale: 0.14 ETH
Sale: 0.17 ETH",ETH,2022-03-31T17:00:00.000Z,2022-03-28T17:00:00.000Z,https://mint.shazu.io/#/mint,discord.gg/shazu,shazu_io,2022-03-14T00:00:00.000Z
simeonnft,Simeon,Demon themed NFTs,9999,0.1,,ETH,2022-03-29T06:00:00.000Z,,https://simeon9999.io/,https://discord.gg/V2XpPQEkFQ,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,2022-03-15T00:00:00.000Z
skullpunksog,SkullPunks-OG,Skull Themed NFTs,9999,FREE,,ETH,2022-03-22T18:00:00.000Z,,https://www.skullpunks.com/,https://discord.gg/fTRserBavA,skullpunks,2022-03-12T00:00:00.000Z
solanazoolemurclub,Solana Zoo - Lemur Club,Lemur themed NFT avatars,5555,Presale 0.35 SOL Public Sale 0.55 SOL,"Presale: 0.35 SOL
Sale: 0.55 SOL",ETH,2022-04-07T19:00:00.000Z,,https://www.zoosolana.com/,https://discord.com/invite/gBphrYNF8B,SolanaZoo_NFT,2022-03-13T00:00:00.000Z
spacekidss,SPACE KIDS,Space kids themed NFTs,3600,0.09,,ETH,2022-03-20T15:00:00.000Z,2022-03-18T16:00:00.000Z,https://spacekids.io/,https://discord.gg/x3EYwunYWd,spacekidsnft,2022-03-17T00:00:00.000Z
spscvalkyrs,Space Pirates Secret Club - Valkyrs Faction,Space pirates themed NFTs,275,0.03,,ETH,2022-03-21T13:00:00.000Z,,https://spacepiratessecretclub.com/,https://discord.com/invite/CkCJkwJ7yT,spacepiratesSC,2022-03-14T00:00:00.000Z
spookyislanders,Spooky Islanders,Filipino Tarsier themed NFTs,6000,0.025,"Presale: 0.025 ETH
Public Sale: 0.05 ETH",ETH,2022-03-20T11:00:00.000Z,,https://spookyislanders.com/,https://discord.gg/spookyislanders,SpookyIslanders,2022-03-11T00:00:00.000Z
suburbanrobots,SuburbanRobots,Robot themed NFTs by SuburbanColors,1175,0.07,,ETH,2022-04-07T19:00:00.000Z,,https://suburbancolors.com,https://discord.gg/AtKSyTgK8J,suburbancolors,2022-03-17T00:00:00.000Z
supernerdsmeta,Supernerds Meta,3D Nerd themed NFTs,5555,0.08,,ETH,2022-03-29T18:00:00.000Z,,https://supernerds.club/,https://discord.gg/supernerdsclub,supernerds_club,2022-03-15T00:00:00.000Z
thecryptonerdz,The Cryptonerdz,Nerd themed NFTs,4444,.04 pre sale .05 public,"Presale: 0.04 ETH
Public Sale: 0.05 ETH",ETH,2022-03-20T20:00:00.000Z,2022-03-19T20:00:00.000Z,https://thecryptonerdz.com/,https://discord.gg/fTuuM4D6,thecryptonerdz,2022-03-15T00:00:00.000Z
thecyborgwerewolves,The Cyborg Werewolves,Werewolves Themed NFTs,5555,3,,Matic,2022-03-18T23:00:00.000Z,,https://www.thecyborgwolves.com/,https://discord.com/invite/DD3VdmPqjc,TheCyborgWolves,2022-03-12T00:00:00.000Z
themusketeers,The Musketeers,Musketeers Themed NFTs,5000,0.05,,ETH,2022-03-22T19:00:00.000Z,,https://themusketeers.io/,https://discord.com/invite/WNDXdGRFTu,TheMusketeersIo,2022-03-11T00:00:00.000Z
timepieceapesociety,Timepiece Ape Society,Ape themed NFT avatars,3333,0.2,,ETH,2022-03-22T22:00:00.000Z,,https://timepieceape.io/,https://discord.gg/TAS,TimepieceApes,2022-03-16T00:00:00.000Z
tribexempireact1,TRIBE X Empire – Act 1,3D metaverse avatar NFTs,11111,0.15,,ETH,2022-03-26T16:00:00.000Z,,http://www.iamtribex.com,https://discord.gg/tribex,iam_tribex,2022-03-16T00:00:00.000Z
uldor,Uldor,MMORP Themed NFTs,10000,"Presale: 0.05 ETH 
Public Sale: 0.08 ETH",,ETH,2022-03-29T00:00:00.000Z,2022-03-28T22:26:00.000Z,https://uldor.com,discord.gg/uldor,UldorGuardians,2022-03-11T00:00:00.000Z
unapologeticapes,Unapologetic Apes ,Ape themed NFT avatars,5000,0.08,,ETH,2022-04-08T21:00:00.000Z,,unapologeticapes.com,https://discord.gg/ur52uAVdhf,UnapologeticApe,2022-03-15T00:00:00.000Z
valorien,Valorien,Animated NFT Avatars,7777,0.05,"Presale: 0.05 ETH
Public Sale: 0.06 ETH",ETH,2022-04-23T16:00:00.000Z,2022-04-22T17:34:00.000Z,https://valoriennft.com/,https://discord.gg/Valorien,Valoriennft,2022-03-14T00:00:00.000Z
vikingsons,Viking Sons NFT,Viking themed NFTs,10000,0.04,"Presale: 0.02 ETH
Public Sale: 0.04 ETH",ETH,To be Announced,2022-02-22T18:00:00.000Z,www.vikingsonsnft.com,https://discord.com/invite/RPFz2TNQk6,thevikingsons,2022-02-21T00:00:00.000Z
vrpalz,VrPalz,VR themed NFT avatars,5000,0.03,,ETH,2022-03-21T16:00:00.000Z,,VrPalz.com,https://discord.gg/5dMhAKBZRb,VrPalz,2022-03-16T00:00:00.000Z
wildseaboats,Wild Sea Boats,Boat themed NFTs with upcoming game,2000,0.2,,ETH,2022-03-18T12:00:00.000Z,,https://wild-sea.io/,https://discord.com/invite/hA2cz5nPpB,SnowTalesStudio,2022-03-11T00:00:00.000Z
worldofether,World of Ether,Monsters themed NFTs,5555,,Sale: FREE then will go up 0.000063 ETH each mint,ETH,2022-03-19T19:00:00.000Z,,https://worldofether.com/,https://discord.gg/worldofether,worldofether,2022-03-13T00:00:00.000Z
yakuzakumiai,Yakuza Kumiai,Yakuza themed NFT avatars,8930,0.07,,ETH,2022-04-09T15:00:00.000Z,,https://yakuza-kumiai.com/,https://discord.gg/BhVdueKm3U,YakuzaKumiai,2022-03-14T00:00:00.000Z
zensportsia,ZenSportsia,Athlete themed NFT avatars,10000,0.15,,ETH,2022-03-30T14:00:00.000Z,,https://zensportsia.com/ ,https://discord.gg/gnwAUarJtx ,ZenSportsia ,2022-03-15T00:00:00.000Z
